PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.644269585609436,-0.291177064180374,-0.511226654052734,-0.740761280059814,0.187266558408737
0BVvxJ6a,0.487299829721451,-0.246479064226151,0.592119216918945,-0.27670693397522,-0.526381254196167
0KbdgApg,-0.0960632264614105,-0.311973601579666,-0.0543770641088486,0.232925653457642,-0.684641122817993
0MnuuduB,-0.137979120016098,-0.246542006731033,-0.213922962546349,0.697784662246704,-1.13775086402893
0PcIsF9z,-0.363412111997604,-0.317590743303299,-1.27230083942413,0.138595461845398,-0.322647720575333
0ShTFLYJ,-0.742417931556702,-0.462635070085526,-0.166155323386192,-1.21834540367126,0.286222189664841
0XZh9jka,-0.686227440834045,-0.301191359758377,-1.21454858779907,1.26083397865295,-0.967478036880493
0Y7Wegri,0.045919805765152,-0.150386840105057,0.533109188079834,0.37006402015686,0.501500844955444
0dTqplIM,-0.0832763612270355,-0.215078383684158,0.317471981048584,0.173111200332642,-0.680040597915649
0lNiZicC,-0.54728090763092,-0.553255081176758,-0.54656457901001,-0.558631658554077,-0.278566628694534
0rGeJ0QN,-0.469827264547348,-0.191421538591385,-0.67711877822876,0.583023309707642,0.144941061735153
0sXI9ytQ,-0.608163475990295,-0.174266844987869,-0.47747278213501,-1.17935156822205,1.48512816429138
0ukt4aP6,0.425897985696793,-0.360069304704666,0.746652126312256,-0.100406415760517,-0.294382363557816
1AGspb8f,-0.518092751502991,-0.420722991228104,-1.36301279067993,0.699846506118774,-1.19040894508362
1Csy0gvE,-0.469781488180161,-0.239532500505447,-0.444536685943604,-0.685775518417358,0.933133840560913
1Ic2hly1,-0.295146554708481,-0.0885505974292755,-0.423094272613525,0.164919137954712,0.171338766813278
1PPbaTwt,-0.474471658468246,-0.378921538591385,-0.215672001242638,-0.613244771957397,-0.331146508455276
1SO5VJNy,-0.365579217672348,-0.151489287614822,-0.179071888327599,-0.425903081893921,1.05206847190857
1arHxK3Y,0.801939368247986,-0.124297171831131,1.22287511825562,0.0643541738390923,-0.247797280550003
1fCW4Bba,-0.538804650306702,-0.0728130638599396,2.05188989639282e-05,-0.304939031600952,0.571386098861694
1qDZNvIm,-0.744714379310608,-0.159919768571854,-0.42321252822876,-0.875137090682983,1.29991698265076
28LYJC2V,-0.56443178653717,-0.21674832701683,-0.954714298248291,0.814689874649048,-0.539453744888306
2CzACvQq,0.594900488853455,-0.239456206560135,1.35571432113647,-0.196014165878296,-0.137647897005081
2FT3crfv,-0.393891900777817,-0.235620528459549,-0.313051700592041,0.144371271133423,-0.622072458267212
2Fy2uHVg,-1.19317018985748,-0.316474944353104,-0.612627506256104,-1.17616248130798,0.111684538424015
2MkMEApm,-0.531869530677795,-0.0880089104175568,-0.0109658092260361,-0.728790044784546,1.02494597434998
2NDGWEOe,0.72774350643158,-0.263746291399002,1.93179845809937,-0.560821294784546,-0.146494179964066
2NyyCiqn,-0.413232415914536,-0.131118804216385,-0.0449089854955673,-0.501724004745483,1.02307677268982
2QRzIb84,0.419721990823746,-0.181591063737869,1.25920248031616,-0.192207098007202,0.371640890836716
2QcbdrUZ,-0.479058831930161,-0.203527480363846,-0.359323978424072,-0.535262823104858,0.700750112533569
2YgAimWK,-0.460916131734848,-0.101909667253494,0.0331397205591202,-0.465423345565796,0.690854787826538
2cx85d9H,0.181951910257339,-0.396110564470291,-0.103270038962364,0.209793329238892,-0.896471261978149
2homMXMV,-0.427156060934067,-0.151569396257401,-0.733011722564697,0.296196222305298,0.0832040086388588
2ldLrUtq,-0.66776430606842,-0.420453101396561,-0.902422428131104,-0.52361273765564,-0.85108208656311
2nsACW6G,-0.419021219015121,-0.451183348894119,-1.64505052566528,1.5958616733551,-1.84605813026428
2yMbVnWc,-0.389010518789291,-0.0383920967578888,-0.420509338378906,1.87305617332458,0.102329947054386
36r8sgGQ,-0.430146783590317,-0.263565093278885,-0.271494388580322,-0.870246648788452,0.951429128646851
3NXAXCl3,-0.609376549720764,-0.394752532243729,-1.40846490859985,0.772392511367798,-1.28497529029846
3QG0z6fl,-0.594373345375061,-0.381326705217361,-0.41167688369751,-0.590232610702515,-0.246401101350784
3WS8R9qm,-0.174691766500473,-0.397441893815994,-1.23180627822876,1.9784243106842,-1.78135132789612
3fRLm8f5,-0.432593435049057,-0.190389662981033,-0.77360725402832,0.123746626079082,0.112117029726505
3mZhp1nQ,-0.54679262638092,-0.253574401140213,-0.606714725494385,-0.450683355331421,0.347173422574997
3pikJXRL,-0.697461724281311,-0.440006285905838,-1.46667337417603,0.68423867225647,-1.12367844581604
3pxOEGHL,-0.552735924720764,-0.241119414567947,-0.352510929107666,-0.800300359725952,0.928327322006226
3ttdV3f5,-0.727624535560608,-0.268466979265213,-0.511240482330322,-0.379028081893921,0.174154013395309
3v4X6Mfe,0.907217383384705,-0.273242980241776,1.24867010116577,-0.468139410018921,-0.743372201919556
3wORuPiv,-0.564836144447327,-0.267766267061234,-0.892519474029541,-0.136863470077515,-1.23911499977112
43EfrxZj,-0.0509506165981293,-0.232157737016678,0.0152564197778702,0.347694635391235,-0.508325815200806
457Vwm21,0.27396622300148,-0.15432932972908,0.683061122894287,0.521915674209595,-0.0101835951209068
46KNnOdx,-0.597394585609436,-0.231357365846634,-0.986780643463135,0.213245630264282,-0.0915129408240318
47TwNsVC,-0.491563409566879,-0.450946837663651,-1.87868738174438,1.47553277015686,-1.96207642555237
49856RpO,-0.53885805606842,-0.393127471208572,-0.874308109283447,-0.319930791854858,-0.931265115737915
4Ane1o2N,-0.526307702064514,-0.301834136247635,-0.577566623687744,-0.540961980819702,0.193425863981247
4AyVUgSc,-0.569093346595764,-0.46710541844368,-0.313524723052979,-0.629218816757202,-0.0551321730017662
4B1951On,-0.277619928121567,-0.294128447771072,-0.0734734386205673,-0.484992742538452,-0.818956613540649
4OL39Teo,-0.130910485982895,-0.137218981981277,0.0761809498071671,0.33426308631897,-0.363840371370316
4eQ90eLY,-0.320954889059067,-0.207458525896072,-0.259684085845947,0.498893976211548,-0.824098825454712
4o5jwMj8,-0.368695825338364,-0.328658133745193,-0.195230945944786,-0.422954320907593,0.294714659452438
4vPgpl2c,-0.508148789405823,-0.265320807695389,-0.377176761627197,-0.468559980392456,0.0317952409386635
51r9aA0d,-0.592599511146545,-0.510865211486816,-0.424379825592041,-0.633743047714233,-0.06559207290411
58SmeRoP,-0.245835870504379,-0.390496760606766,-0.550436496734619,0.190540552139282,-0.535488367080688
5HJp1AXn,-0.460755914449692,-0.119037657976151,-0.891420841217041,0.401733636856079,-0.245004922151566
5MBZW7fx,0.0157856047153473,-0.297906905412674,0.746657848358154,-0.524797201156616,-0.415727883577347
5Nq3gHaP,0.0824951231479645,-0.073999434709549,0.444272518157959,0.568908929824829,-0.258981972932816
5RmwFFK3,0.514349341392517,-0.17552188038826,0.806188106536865,0.220718622207642,-0.597551584243774
5Tu5Jbov,-1.07342684268951,-0.242303878068924,-0.696609973907471,-0.383323431015015,-0.190843850374222
5YEolkev,-0.547196984291077,-0.41528132557869,-0.571455478668213,-0.545455694198608,-0.652605295181274
5a8sf6QV,0.012350469827652,-0.289726287126541,0.329938411712646,0.0509951040148735,-0.684892892837524
5eSvmqYm,-0.85343325138092,-0.286804229021072,-0.248301014304161,-1.14256262779236,0.135915488004684
5hkN8fiv,-0.27156600356102,-0.340864211320877,-1.21550989151001,0.818783044815063,-0.928819894790649
5oK8Gti5,-0.591485619544983,-0.176972419023514,-0.259127140045166,-0.651870489120483,0.477773398160934
5paniGaU,-1.03763735294342,-0.243495970964432,-0.974573612213135,-1.1153256893158,1.59326720237732
5vsr7ZUP,0.483103185892105,-0.331243544816971,0.584432125091553,-0.516391515731812,-0.486147195100784
60B4xMWI,-0.277684777975082,-0.224976569414139,0.611133098602295,-0.71349310874939,0.542394876480103
64jOUtKy,0.478536993265152,-0.11624339222908,0.539395809173584,1.10763573646545,-0.656683206558228
6AJo4xNG,-0.380078881978989,-0.141124755144119,-0.523413181304932,0.18362832069397,-0.116911195218563
6CAvhEte,-0.493873208761215,-0.288011103868484,-0.329117298126221,-0.546083211898804,-0.328010827302933
6CuGYjT5,2.01016855239868,-0.239326506853104,1.8548789024353,0.549850702285767,-0.949899911880493
6DGH8ujZ,-0.470270723104477,-0.341115981340408,-1.29348516464233,0.298936128616333,-0.667411088943481
6PzsGdVm,-0.310167878866196,-0.229205399751663,-0.839767932891846,0.445876359939575,-0.59765362739563
6UcSJMbq,-0.0102783143520355,-0.193450003862381,0.871808528900146,-0.664550542831421,0.412473410367966
6WJbkH8U,1.01912534236908,-0.274570494890213,1.2773642539978,-0.428985357284546,-0.999841928482056
6eUWsVzw,0.445884138345718,-0.296848326921463,0.821047306060791,-0.392151594161987,-0.670825242996216
6gNyO7Do,0.143087774515152,-0.289249449968338,0.0892768055200577,0.44928765296936,-0.750421762466431
6jT0AyHe,-0.214337915182114,-0.326072722673416,-0.0220093578100204,0.23117470741272,-0.695043802261353
6nBgCvWu,-0.65598452091217,-0.149993926286697,-0.424448490142822,-0.462768316268921,1.07973265647888
6ro5mqg6,-0.424371331930161,-0.168518096208572,-0.528589725494385,-0.701278448104858,0.553624868392944
6sGqObX4,-1.39715254306793,-0.37773135304451,-0.921288967132568,-0.625927686691284,-0.355670243501663
6uEGy0n4,1.52471005916595,-0.247756987810135,2.40085363388062,-0.0172116812318563,-0.780893564224243
7BZ4LxP8,-0.028146356344223,-0.376907378435135,0.0634055286645889,-0.234802007675171,-1.10666871070862
7CmigXKi,-0.535962700843811,-0.378517180681229,-0.552309513092041,-0.773677587509155,-0.598577737808228
7Ga0LpfR,0.491430670022964,-0.0409412682056427,0.594991207122803,0.759552240371704,-0.549112558364868
7PQsFvsG,-0.260087579488754,-0.257080107927322,-1.13931131362915,0.972404718399048,-0.94808030128479
7aF7nnwn,-0.348535150289536,-0.488224059343338,-0.143473133444786,-0.766616582870483,0.707174062728882
7asGzfX9,-0.278688043355942,-0.191421538591385,-0.0802483409643173,-0.331199407577515,-0.0695440992712975
7cg7C92o,-0.111793130636215,-0.151930838823318,0.297225475311279,0.618833780288696,0.127279013395309
7eOxTpsB,-0.367204278707504,-0.032143622636795,0.624196529388428,-0.91063666343689,1.27988219261169
7ey0v7ma,-0.460511773824692,-0.378868132829666,-1.1765923500061,0.450157403945923,-1.40323090553284
7gocyrYl,-0.304483026266098,-0.164908915758133,-0.636782169342041,0.881889581680298,-0.448526650667191
7gqR3GoA,-0.555085778236389,-0.351382285356522,-0.762400150299072,-0.440498113632202,-0.177561074495316
7og7aUXB,-0.410028070211411,-0.238361388444901,-0.0784478038549423,-0.0203778799623251,-0.289446145296097
7onRfa8F,0.233905225992203,-0.133476287126541,0.217504993081093,-0.126538038253784,0.54869532585144
7umkNuxM,-0.313417047262192,-0.191061049699783,-0.485125064849854,-0.039016492664814,-0.582311868667603
7vPr9ExD,0.000814825296401978,-0.26737979054451,0.271687984466553,0.0748903676867485,-0.511873483657837
7zNjpCzu,-0.985581994056702,-0.355674773454666,-0.614275455474854,-0.304588079452515,-0.256433755159378
7ztsQNj3,-1.04353487491608,-0.261268645524979,-0.744333744049072,-0.389877080917358,-0.265741616487503
86gppwMI,-0.513597130775452,-0.0881805717945099,-0.205275043845177,0.20887017250061,0.909227132797241
88thAGdL,-0.290994256734848,-0.285017043352127,-0.104822620749474,-0.114791639149189,-0.129053384065628
8GhU8STP,0.983221411705017,-0.235113173723221,1.33169317245483,0.346420526504517,-0.650949716567993
8NlzDcWe,-0.315454095602036,-0.552383065223694,-0.425440311431885,-0.347366094589233,0.0110299363732338
8QAejdLW,-0.107278436422348,-0.348396331071854,-0.135355457663536,0.216858148574829,-0.621004343032837
8RDeFxWM,-0.491288751363754,-0.223573714494705,-0.30584192276001,-0.737937688827515,1.10394835472107
8UXP2NBS,-0.496149629354477,-0.3228979408741,-0.72798490524292,-0.659754514694214,-0.587263345718384
8ZoV3KGT,-0.153701394796371,-0.344146758317947,0.112136378884315,-0.0481202676892281,-0.43195179104805
8ajs2uG8,-0.581857323646545,-0.389667540788651,-0.845255374908447,-0.209029912948608,-1.01826691627502
8bXnz62p,-0.327756494283676,-0.215755492448807,0.0579924732446671,0.766857385635376,0.451591223478317
8nO1O1LG,1.46716916561127,-0.138072997331619,1.7054648399353,0.917251825332642,-0.767755746841431
8xE1p8g8,-0.766130089759827,-0.280962020158768,-0.753435611724854,-0.61608099937439,-0.989359140396118
8yMDVMRM,-0.570714592933655,-0.363554030656815,-0.953123569488525,-0.532260656356812,-0.803438425064087
98R5VaPi,0.567264914512634,-0.19444277882576,1.29911375045776,-0.265928030014038,0.646615743637085
9DcTz2Ua,2.12229013442993,-0.217940360307693,2.07736730575562,0.867752313613892,-0.764490365982056
9G7nfUrK,-0.374435037374496,-0.132373839616776,-0.0675091594457626,-0.533319234848022,0.568668127059937
9O6GZ1HT,0.151205450296402,-0.277189284563065,0.96594762802124,-0.679565191268921,-0.0161307081580162
9S7fCoAM,-0.622003197669983,-0.140749007463455,-0.33684778213501,-0.531173467636108,0.671575307846069
9iQwmFJR,-0.51981508731842,-0.307851821184158,-0.148344501852989,-0.663970708847046,-0.363680154085159
A3Mt6SAQ,1.10648953914642,-0.274144679307938,1.98560857772827,-0.781951665878296,0.244668692350388
AJIsQIcV,-0.606159090995789,-0.298282653093338,-0.349915266036987,-0.613236904144287,-0.301011115312576
AMHKXMh8,1.36446225643158,-0.229160338640213,2.31877660751343,0.0774538442492485,-0.558107614517212
ASwA2J4E,-0.296586602926254,-0.148441344499588,-0.117075428366661,-0.363853216171265,0.948156118392944
AaFvEoHq,-0.305537790060043,-0.149156600236893,0.566375255584717,-0.863813161849976,0.729011297225952
AiIPD6hX,-0.375924676656723,-0.270557433366776,-0.565989017486572,0.470993280410767,-0.714792490005493
AsIURvJS,-0.58719789981842,-0.336816817522049,-0.92400598526001,1.0705873966217,-1.02585816383362
AsvgbJ0C,-0.278108209371567,-0.218932181596756,-0.886892795562744,0.591549158096313,-0.602457284927368
AxEhbkCM,-0.481478780508041,-0.376930266618729,-0.868486404418945,-1.05965065956116,-0.83203387260437
B7VPkIpx,-0.529448628425598,-0.374589949846268,0.163082137703896,-0.442606210708618,0.262249201536179
BBwHqHiH,-0.211904138326645,-0.339290648698807,-0.182150349020958,0.288707971572876,-0.992521524429321
BMyps8hr,-0.147653192281723,-0.39178279042244,-0.335573673248291,0.0425417348742485,-1.14380860328674
BUHS4dQw,0.158163458108902,-0.171903640031815,-0.40447473526001,2.1238100528717,-0.883424997329712
BZB3EYWQ,-0.403390496969223,-0.104244261980057,-0.218889698386192,-0.247558355331421,0.822652578353882
C5UPCZcL,2.39401865005493,-0.228572875261307,2.08353185653687,0.878586053848267,-0.853342294692993
C5gIfQbJ,-0.472346872091293,-0.432300597429276,-1.85170793533325,1.23243927955627,-1.62380242347717
CDRuu4Pn,-0.371865838766098,-0.336133986711502,-0.412180423736572,-1.00479102134705,0.697812795639038
CQhTYkqE,0.727418303489685,-0.261798888444901,0.673401355743408,0.145314455032349,-0.787392854690552
CSEobMXv,-0.777622818946838,-0.361915618181229,-1.69297170639038,0.507136583328247,-1.58479619026184
CYMQE4x0,0.102659612894058,-0.171080619096756,0.9656081199646,-0.278465032577515,-0.0769179090857506
ChQdtl4J,-0.637261986732483,-0.244838744401932,-0.465357303619385,-0.656585454940796,0.301152914762497
ChnD1nrN,-0.563684105873108,-0.551109313964844,-0.448229312896729,-0.628204107284546,-0.217195779085159
CvtbbIcq,0.628710150718689,-0.239114791154861,1.15249967575073,0.28213906288147,-0.519823312759399
Cxk06b77,-0.189611047506332,-0.235128432512283,0.423444271087646,0.137539148330688,0.159545630216599
D3QD3ZEJ,-0.341415971517563,-0.200905352830887,-0.482329845428467,0.217398881912231,-0.321042329072952
D8J5C6lA,0.564733862876892,-0.17010024189949,1.20842504501343,-0.038741834461689,-0.537752389907837
DCeQwYfT,-0.167237848043442,-0.229499369859695,-0.0426010936498642,0.145900964736938,-0.351999551057816
